"id","name","host_since","host_response_time","host_response_rate","host_is_superhost","host_listings_count","neighbourhood_cleansed","zipcode","latitude","longitude","property_type","room_type","accommodates","bathrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","reviews_per_month","descr_measure","neigh_measure","length_descr","length_rules","pos_review","neg_review","dif_review","availability","host_period"
12147973,"Sunny Bungalow in the City",2015-04-15,"",NA,"f",1,"Roslindale","02131",42.2826187957795,-71.1330679291268,"House","Entire home/apt",4,1.5,3,"Real Bed",250,1,"$0.00",2,1125,0,NA,NA,NA,NA,NA,NA,NA,"f","moderate",NA,8,4,1000,84,NA,NA,0,0,972.791666666667
3075044,"Charming room in pet friendly apt",2012-06-07,"within an hour",1,"f",1,"Roslindale","02131",42.2862408218674,-71.1343739645716,"Apartment","Private room",2,1,1,"Real Bed",65,0,"$0.00",2,15,36,94,10,9,10,10,9,9,"t","moderate",1.3,6,1,1000,403,3.58333333333333,0,3.58333333333333,0.983561643835616,2014.79166666667
6976,"Mexican Folk Art Haven in Boston",2009-05-11,"within a few hours",1,"t",1,"Roslindale","02131",42.2924378866568,-71.1357652537467,"Apartment","Private room",2,1,1,"Real Bed",65,1,"$20.00",3,45,41,98,10,9,10,10,9,10,"f","moderate",0.47,4,2,1000,374,4.26829268292683,0.024390243902439,4.24390243902439,0.873972602739726,3137.79166666667
1436513,"Spacious Sunny Bedroom Suite in Historic Home",2013-04-21,"within a few hours",1,"f",1,"Roslindale","",42.2811061882736,-71.1210211735055,"House","Private room",4,1,2,"Real Bed",75,2,"$25.00",1,1125,1,100,10,10,10,10,10,10,"f","moderate",1,3,3,1000,591,4,0,4,0.268493150684932,1696.79166666667
7651065,"Come Home to Boston",2014-05-11,"within an hour",1,"t",1,"Roslindale","02131",42.2845122098246,-71.1362580468337,"House","Private room",2,1.5,2,"Real Bed",79,1,"$0.00",2,31,29,99,10,10,10,10,9,10,"f","flexible",2.25,15,1,1000,160,3.86206896551724,0.0344827586206897,3.82758620689655,0.915068493150685,1311.79166666667
12386020,"Private Bedroom + Great Coffee",2016-03-23,"within a few hours",1,"t",2,"Roslindale","02131",42.291689800769,-71.1318927747592,"Condominium","Private room",2,1,1,"Real Bed",75,1,"$0.00",2,1125,8,100,10,10,10,10,9,10,"f","flexible",1.7,4,2,1000,33,4.875,0,4.875,0.158904109589041,629.791666666667
5706985,"New Lrg Studio apt 15 min to Boston",2013-05-25,"within an hour",0.98,"f",5,"Roslindale","02131",42.2813896262345,-71.1311904198728,"Apartment","Entire home/apt",3,1,2,"Real Bed",100,1,"$25.00",1,1125,57,90,10,10,10,10,9,9,"f","strict",4,1,5,1000,321,2.94736842105263,0.0526315789473684,2.89473684210526,0.942465753424658,1662.79166666667
2843445,"""Tranquility"" on ""Top of the Hill""",2012-08-05,"within a few hours",1,"t",2,"Roslindale","02131",42.2819460960702,-71.1410216113558,"House","Private room",2,2,1,"Real Bed",75,1,"$15.00",1,1125,67,96,10,10,10,10,10,10,"f","moderate",2.38,8,5,1000,1000,4.7910447761194,0.0149253731343284,4.77611940298507,1,1955.79166666667
753446,"6 miles away from downtown Boston!",2012-10-24,"within an hour",1,"t",1,"Roslindale","02131",42.2858776392019,-71.1249095569216,"Condominium","Private room",2,1,2,"Real Bed",58,2,"$0.00",2,1125,65,96,10,10,10,10,9,10,"f","moderate",5.36,6,2,1000,602,2.98461538461538,0,2.98461538461538,0.950684931506849,1875.79166666667
849408,"Perfect & Practical Boston Rental",2012-12-18,"within an hour",1,"t",2,"Roslindale","02131",42.2888202835845,-71.1395101021012,"Apartment","Entire home/apt",5,1,2,"Real Bed",229,4,"$25.00",4,10,33,94,10,9,10,10,9,9,"f","strict",1.01,8,2,1000,379,4.24242424242424,0.0303030303030303,4.21212121212121,0.293150684931507,1820.79166666667
12023024,"Cozy room in a well located house",2016-03-24,"within a day",0.83,"f",1,"Roslindale","02131",42.2864481977888,-71.1393253884804,"House","Private room",2,1,1,"Real Bed",60,1,"$10.00",1,1125,1,80,10,8,8,10,10,10,"f","flexible",0.36,3,0,245,3,2,0,2,0.93972602739726,628.791666666667
1668313,"Room in Rozzie-Twin Bed-Full Bath",2013-09-14,"within an hour",1,"t",2,"Roslindale","02131",42.2819418324247,-71.1333719019174,"House","Private room",1,1,1,"Real Bed",57,1,"$0.00",1,1125,17,94,9,10,10,10,9,9,"f","flexible",0.48,8,3,1000,243,3.41176470588235,0.117647058823529,3.29411764705882,0.934246575342466,1550.79166666667
2684840,"Updated, spacious living in Rozzie",2014-03-31,"within a few hours",1,"f",2,"Roslindale","02131",42.2917234114631,-71.1315560216185,"Condominium","Entire home/apt",4,1,2,"Real Bed",93,1,"$0.00",1,1125,1,100,10,10,10,10,10,10,"t","flexible",0.64,2,0,217,411,7,0,7,0,1352.79166666667
13547301,"2 Bedroom Apartment in Boston",2016-02-04,"within an hour",1,"f",1,"Roslindale","02131",42.2876410347011,-71.1298828659042,"Apartment","Entire home/apt",5,1,3,"Real Bed",150,5,"$30.00",2,21,12,97,10,10,10,10,9,10,"f","moderate",4.93,3,0,308,3,3.25,0,3.25,0.353424657534247,677.791666666667
5434353,"Quiet  Beauty in Boston",2013-10-27,"within a day",0.75,"f",1,"Roslindale","02131",42.2862647362089,-71.1370651307212,"House","Entire home/apt",2,1.5,2,"Real Bed",145,2,"$35.00",3,1125,7,91,9,9,10,9,9,9,"f","moderate",0.56,3,2,595,3,3.14285714285714,0,3.14285714285714,0.873972602739726,1507.79166666667
225979,"Cozy Room & Fresh Roasted Coffee",2011-09-18,"within an hour",1,"f",2,"Roslindale","02131",42.2814520694321,-71.1292500440407,"Apartment","Private room",1,0,1,"Real Bed",60,1,"$0.00",1,365,70,96,9,10,10,10,9,10,"t","strict",1.16,7,3,1000,762,3.92857142857143,0.0285714285714286,3.9,0.928767123287671,2277.79166666667
3420384,"Convient, Safe and Comfortable",2011-03-09,"within a few hours",1,"f",1,"Roslindale","02131",42.2744080125317,-71.1252940444155,"House","Private room",4,1,3,"Real Bed",165,3,"$15.00",3,1125,1,100,10,10,10,10,10,10,"f","flexible",1,2,1,936,295,1,0,1,0.956164383561644,2470.79166666667
13512930,"Roslindale Beauty next to Arboretum",2014-03-31,"within a few hours",1,"f",2,"Roslindale","02131",42.2918149155783,-71.1315879343071,"Condominium","Private room",2,1,1,"Real Bed",75,1,"$15.00",1,1125,1,100,10,10,10,10,10,10,"t","flexible",0.37,2,0,216,354,6,0,6,0,1352.79166666667
7482195,"Private room near bus stop",2015-05-30,"within a day",1,"t",3,"Roslindale","02131",42.2822247558416,-71.1151885589007,"House","Private room",1,1,1,"Real Bed",49,1,"$10.00",5,1125,0,NA,NA,NA,NA,NA,NA,NA,"f","strict",NA,1,0,248,3,NA,NA,0,0.808219178082192,927.791666666667
7252607,"Private Room near Public Transport",2015-05-30,"within a day",1,"t",3,"Roslindale","02131",42.2828017504239,-71.1151450909409,"House","Private room",2,1,1,"Real Bed",49,1,"$10.00",5,1125,4,95,9,10,10,10,9,10,"f","strict",0.29,2,0,242,1000,2.75,0,2.75,0.717808219178082,927.791666666667
2583074,"Cozy room in a charming villa.",2014-03-17,"within a few hours",1,"t",3,"Roslindale","02131",42.2796478183415,-71.1360587290911,"Villa","Private room",1,2.5,1,"Real Bed",40,1,"$0.00",2,1125,31,99,10,10,10,10,9,10,"f","flexible",1.24,5,0,943,240,3.16129032258065,0.032258064516129,3.12903225806452,0.90958904109589,1366.79166666667
13251243,"Arborside Guest Cottage",2016-05-28,"within an hour",1,"f",1,"Roslindale","02131",42.2940353442204,-71.1322372463106,"House","Entire home/apt",3,1,2,"Real Bed",120,3,"$0.00",2,6,16,98,10,10,10,10,10,10,"t","moderate",5.93,6,3,1000,202,4.4375,0,4.4375,0.567123287671233,563.791666666667
